distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,datetime,temp,location,clouds,pressure,rain,humidity,wind
1.35,Uber,Haymarket Square,Beacon Hill,13,1,d1edaa8b-de3a-45a3-a1cd-447d0760d5cb,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,29-11-2018 00:02,39.18,Beacon Hill,0.83,996.08,0,0.67,10.69
3.23,Lyft,Back Bay,South Station,5,1,60d056e9-a947-47d6-8c58-f2ece9f8a306,lyft_line,Shared,29-11-2018 06:41,38.21,South Station,0.61,1000.6,0,0.69,10.63
3.23,Lyft,Back Bay,South Station,10.5,1,66c1017e-0ba4-405d-a04b-1ff46702204d,lyft,Lyft,29-11-2018 06:41,38.21,South Station,0.61,1000.6,0,0.69,10.63
3.23,Lyft,Back Bay,South Station,22.5,1,8636d1e1-b478-4678-9e08-e6fca9e6336b,lyft_premier,Lux,29-11-2018 06:41,38.21,South Station,0.61,1000.6,0,0.69,10.63
3.23,Lyft,Back Bay,South Station,27.5,1,b7c73dc3-b0ca-409b-b64b-fa79be461f62,lyft_lux,Lux Black,29-11-2018 06:41,38.21,South Station,0.61,1000.6,0,0.69,10.63
2.97,Lyft,Fenway,West End,7,1,b70cae94-d7c0-4c12-8eef-48b6482b02ff,lyft_line,Shared,29-11-2018 00:02,39.1,West End,0.83,996.07,0,0.67,10.69
3.22,Uber,North Station,Northeastern University,11.5,1,090f405e-503d-45ec-93fb-1eca21eeb607,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,28-11-2018 09:32,33.21,Northeastern University,0.42,991.82,0,0.84,5.87
1.12,Lyft,Theatre District,South Station,7,1,93246d56-191b-4e0c-92ed-c1d155dfe149,lyft,Lyft,28-11-2018 11:02,33.78,South Station,0.37,990.64,0,0.8,6.56
1.12,Lyft,Theatre District,South Station,10.5,1,b879606c-e2e0-4eaa-a266-37100883edb2,lyft_plus,Lyft XL,28-11-2018 11:02,33.78,South Station,0.37,990.64,0,0.8,6.56
1.12,Lyft,Theatre District,South Station,27.5,1,bac0546e-2793-4c0e-ba96-93494c159c4d,lyft_luxsuv,Lux Black XL,28-11-2018 11:02,33.78,South Station,0.37,990.64,0,0.8,6.56
1.12,Lyft,Theatre District,South Station,13.5,1,ec73d738-f5ad-4705-a4fa-77b3ba6ad81b,lyft_premier,Lux,28-11-2018 11:02,33.78,South Station,0.37,990.64,0,0.8,6.56
3.08,Lyft,Northeastern University,West End,7,1,0833697b-b37b-4c4e-a60e-612d5074ae90,lyft_line,Shared,28-11-2018 11:02,33.23,West End,0.37,990.64,0,0.82,6.52
2.32,Uber,Fenway,Beacon Hill,0,1,e831a288-119d-415a-84bf-3e80622ddd80,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,29-11-2018 06:41,37.65,Beacon Hill,0.61,1000.61,0,0.71,10.53
2.32,Uber,Fenway,Beacon Hill,7.5,1,ed12caab-bacf-4469-bd9b-34858cf22c80,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,29-11-2018 06:41,37.65,Beacon Hill,0.61,1000.61,0,0.71,10.53
2.32,Uber,Fenway,Beacon Hill,9.5,1,f5120868-9327-4ee9-99d3-6317fe75e178,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,29-11-2018 06:41,37.65,Beacon Hill,0.61,1000.61,0,0.71,10.53
2.04,Lyft,Theatre District,Northeastern University,10.5,1,0a84f2b0-8cea-4956-b70f-7bdd8b9ee5ad,lyft,Lyft,29-11-2018 06:41,37.31,Northeastern University,0.62,1000.63,0,0.72,10.48
2.04,Lyft,Theatre District,Northeastern University,16.5,1,5edbea0c-343a-49e0-842d-a772d43c349e,lyft_plus,Lyft XL,29-11-2018 06:41,37.31,Northeastern University,0.62,1000.63,0,0.72,10.48
2.04,Lyft,Theatre District,Northeastern University,7,1,66470492-9b63-4b5b-b1f9-37a9178d009b,lyft_line,Shared,29-11-2018 06:41,37.31,Northeastern University,0.62,1000.63,0,0.72,10.48
2.04,Lyft,Theatre District,Northeastern University,32.5,1,a381ad26-4e17-442c-84a4-52166261c4df,lyft_luxsuv,Lux Black XL,28-11-2018 16:32,41.34,Northeastern University,0.66,991.63,0,0.63,10.44
2.04,Lyft,Theatre District,Northeastern University,22.5,1,da4ef512-53e6-4105-9bec-b1be0ee4d60d,lyft_lux,Lux Black,28-11-2018 16:32,41.34,Northeastern University,0.66,991.63,0,0.63,10.44
2.04,Lyft,Theatre District,Northeastern University,16.5,1,f19b6ba3-06c1-46db-8281-8336f6f0817d,lyft_premier,Lux,28-11-2018 16:32,41.34,Northeastern University,0.66,991.63,0,0.63,10.44
2.72,Uber,Financial District,Northeastern University,31.5,1,16e45a16-8e49-47aa-9c5f-d040f64c1f6b,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 16:32,41.34,Northeastern University,0.66,991.63,0,0.63,10.44
2.72,Uber,Financial District,Northeastern University,10.5,1,302201ff-097b-4f60-8330-07745c24c8ed,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 16:32,41.34,Northeastern University,0.66,991.63,0,0.63,10.44
2.72,Uber,Financial District,Northeastern University,11,1,3153f4c3-fb74-4f3b-9108-e3119f26a061,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,28-11-2018 16:32,41.34,Northeastern University,0.66,991.63,0,0.63,10.44
1.27,Lyft,Back Bay,Northeastern University,13.5,1,b284e3c3-5347-455c-af94-554df85702a1,lyft_premier,Lux,26-11-2018 06:15,40.33,Northeastern University,1,1014.17,0,0.92,1.14
1.27,Lyft,Back Bay,Northeastern University,16.5,1,ba7055c0-38ba-4815-ad70-dae0b2e583f2,lyft_lux,Lux Black,26-11-2018 06:15,40.33,Northeastern University,1,1014.17,0,0.92,1.14
1.27,Lyft,Back Bay,Northeastern University,11,1,e50542cd-5977-4e31-b8b2-fb48755a5504,lyft_plus,Lyft XL,26-11-2018 06:15,40.33,Northeastern University,1,1014.17,0,0.92,1.14
2.98,Uber,Theatre District,Boston University,9,1,075bf206-890e-454f-b748-69f98b7bb981,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,28-11-2018 07:31,35,Boston University,0.16,991.78,0,0.8,6.44
2.98,Uber,Theatre District,Boston University,0,1,22ef2a50-0a01-4c8b-8af2-5554841b9e36,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,28-11-2018 07:31,35,Boston University,0.16,991.78,0,0.8,6.44
2.98,Uber,Theatre District,Boston University,34,1,241a353f-3211-403c-b59d-bb3b84edfb57,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 07:31,35,Boston University,0.16,991.78,0,0.8,6.44
1.22,Uber,Northeastern University,Back Bay,0,1,3505307b-138e-4f9c-aa66-b51089058668,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,28-11-2018 00:45,38.95,Back Bay,0.04,992.11,0,0.72,7.46
1.22,Uber,Northeastern University,Back Bay,7,1,3ceda40d-030f-4e6a-8414-f943b6a71050,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 00:45,38.95,Back Bay,0.04,992.11,0,0.72,7.46
1.22,Uber,Northeastern University,Back Bay,7,1,4f6a50c6-c694-4319-a68d-ef6ce44d4082,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,28-11-2018 00:45,38.95,Back Bay,0.04,992.11,0,0.72,7.46
1.22,Uber,Northeastern University,Back Bay,10.5,1,665f55ad-2451-4f16-9b50-8a82af85ece8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,28-11-2018 00:45,38.95,Back Bay,0.04,992.11,0,0.72,7.46
1.22,Uber,Northeastern University,Back Bay,14.5,1,7132c5bd-830b-40f6-959c-3fb0e1216046,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 00:45,38.95,Back Bay,0.04,992.11,0,0.72,7.46
1.88,Lyft,Beacon Hill,North End,7,1,c5fc30bf-5aeb-49dd-aead-cacd9ea70265,lyft_line,Shared,26-11-2018 10:35,40.6,North End,0.99,1014.86,0,0.95,2.07
1.88,Lyft,Beacon Hill,North End,16.5,1,ff1c83c6-bcac-44b8-ab96-60fa72a49e7b,lyft_plus,Lyft XL,26-11-2018 10:35,40.6,North End,0.99,1014.86,0,0.95,2.07
1.07,Lyft,Northeastern University,Back Bay,16.5,1,392ef2cc-602e-437b-9cdb-5ba68d39d7f9,lyft_lux,Lux Black,28-11-2018 23:45,39.44,Back Bay,0.88,995.87,0,0.66,10.29
1.07,Lyft,Northeastern University,Back Bay,26,1,67a18e50-5c76-42eb-9fcb-39ab1a93993a,lyft_luxsuv,Lux Black XL,28-11-2018 23:45,39.44,Back Bay,0.88,995.87,0,0.66,10.29
1.07,Lyft,Northeastern University,Back Bay,11,1,695076c6-26ce-4951-ad5c-b38aa27d8bb1,lyft_premier,Lux,28-11-2018 23:45,39.44,Back Bay,0.88,995.87,0,0.66,10.29
1.15,Lyft,Financial District,North End,16.5,1,833fd0eb-69f5-4015-a641-cc08bd1b1622,lyft_lux,Lux Black,28-11-2018 16:02,41.22,North End,0.63,991.55,0,0.62,9.88
1.15,Lyft,Financial District,North End,5,1,8dfbd7b2-1c31-40b2-99c6-b36b5fe00856,lyft_line,Shared,28-11-2018 16:02,41.22,North End,0.63,991.55,0,0.62,9.88
1.86,Uber,North End,West End,8,1,bde26eed-0c98-4e5c-8eda-35f961c57ab3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 16:02,41.24,West End,0.63,991.56,0,0.62,9.88
1.86,Uber,North End,West End,17,1,e8b2fe59-5392-47e3-9713-7dab0d6e88d8,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 16:02,41.24,West End,0.63,991.56,0,0.62,9.88
1.64,Uber,Back Bay,Northeastern University,8.5,1,8b27f1e2-f574-4333-931d-5301a79fa276,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 16:02,41.4,Northeastern University,0.61,991.57,0,0.61,9.96
1.64,Uber,Back Bay,Northeastern University,16,1,9258c381-026a-4995-8f18-7bbfc3287026,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 16:02,41.4,Northeastern University,0.61,991.57,0,0.61,9.96
1.45,Lyft,Back Bay,Northeastern University,10.5,1,a1beead7-07ed-4573-9fd8-8afdbc654053,lyft_plus,Lyft XL,28-11-2018 09:32,33.21,Northeastern University,0.42,991.82,0,0.84,5.87
1.45,Lyft,Back Bay,Northeastern University,3,1,e259aeb6-f0c9-4a59-9f7c-43cae513c9ae,lyft_line,Shared,28-11-2018 09:32,33.21,Northeastern University,0.42,991.82,0,0.84,5.87
1.45,Lyft,Back Bay,Northeastern University,16.5,1,eb19a92f-e30b-4ffc-90e3-4b8f8167ad5e,lyft_lux,Lux Black,28-11-2018 09:32,33.21,Northeastern University,0.42,991.82,0,0.84,5.87
2.83,Lyft,West End,Northeastern University,11,1,17458d8d-4456-4bd9-80d0-80c062222397,lyft,Lyft,28-11-2018 09:32,33.21,Northeastern University,0.42,991.82,0,0.84,5.87
1.51,Uber,Boston University,Back Bay,7.5,1,38dc3258-acbb-4a16-817a-981283bdd85a,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 14:06,38.45,Back Bay,0.48,991.7,0,0.67,11.36
1.51,Uber,Boston University,Back Bay,23,1,43a1c935-12ba-4a98-adcd-14dccafaeb08,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 14:06,38.45,Back Bay,0.48,991.7,0,0.67,11.36
1.51,Uber,Boston University,Back Bay,7.5,1,8b5232e5-a82b-4169-bb28-6ac7cdc2ee8c,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,28-11-2018 14:06,38.45,Back Bay,0.48,991.7,0,0.67,11.36
1.51,Uber,Boston University,Back Bay,0,1,b2c6a261-d797-4222-b651-cf79d1ad5866,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,28-11-2018 14:06,38.45,Back Bay,0.48,991.7,0,0.67,11.36
1.51,Uber,Boston University,Back Bay,15,1,b7f2b611-1fe7-4fab-8542-1d77bf240d15,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 14:06,38.45,Back Bay,0.48,991.7,0,0.67,11.36
1.56,Uber,Back Bay,Boston University,8.5,1,bc28cccf-83a9-4142-b890-d94dbbb98c44,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,28-11-2018 23:02,39.98,Boston University,0.98,995.06,0,0.64,9.84
1.06,Lyft,North End,North Station,7,1,45287ae4-51cf-4c3c-bfa9-e846f0262b31,lyft,Lyft,28-11-2018 09:32,33.33,North Station,0.42,991.79,0,0.84,5.9
1.06,Lyft,North End,North Station,16.5,1,b27771f6-5b90-4dc1-a91b-89fd15267cef,lyft_lux,Lux Black,28-11-2018 09:32,33.33,North Station,0.42,991.79,0,0.84,5.9
1.03,Uber,North Station,North End,0,1,f088670d-9426-4d93-bd57-e3d3182a4563,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,29-11-2018 00:39,38.55,North End,0.75,996.8,0,0.69,11.13
1.03,Uber,North Station,North End,8.5,1,f4618732-3193-4015-965e-36eebb5c1094,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,29-11-2018 00:39,38.55,North End,0.75,996.8,0,0.69,11.13
